,username,text,created_at,sumber
0,anggi toXinc,rungkad mulu di kripto karena takut ketinggalan kenapa jiwa takut ketinggalan ku selalu bergejolak setiap lihat coin tren,Wed Jan 29 14:49:37 +0000 2025,X
1,Sinau â‚¿itcoin ðŸ§¡,wis menang lur kenapa isih do denial sih bitcoiner saiki lagi do asyik menikmati tontonan wong wong intitusi negara bankir do lur one way ticket lur,Wed Jan 29 12:24:13 +0000 2025,X
2,MunchMunch.base.eth ðŸ’™,yang saya lihat dari kemarin chart beberapa koin sudah oversold kalau fomc turun dipause malem ini apa bakal jadi pemicunya altcoin season awal february,Wed Jan 29 12:09:50 +0000 2025,X
3,FLOKI,saham us harga turun buruk yakali market kripto bakalan di bikin harga turun juga,Wed Jan 29 10:52:13 +0000 2025,X
5,Ariela,ada apa dengan market kripto lesu banget nge trench dikit harga turun ditinggal bentar balik lg ke ath pusing pala kuu,Wed Jan 29 04:35:58 +0000 2025,X
6,Rizz,game theory altcoin season cuma akan datang ketika hype nya turun mungkin price action terjun drastis harga stagnan everyone start liquidate and forget barulah terjadi,Tue Jan 28 19:20:39 +0000 2025,X
7,JazEe,minggu ini altcoin coin naik bitcoin turun,Tue Jan 28 07:38:57 +0000 2025,X
8,Hepeng Sinurat,kebanyakan orang kontol main kripto ngarep bitcoin turun biar dapat beli bitcoin tapi dia lupa bitcoin turun semua ikut turun,Tue Jan 28 06:00:50 +0000 2025,X
9,Haryanto,altcoin season tergerus oleh meme season kalau tidak ngikutin tren meme season dan terlalu panatik sama altcoin season kapan ingin panen untung nya modal bagus tapi tidak dapat lihat pasar alhasil jalan ditempat,Mon Jan 27 14:22:58 +0000 2025,X
10,THE ACCOUNTANT ðŸŸ©........â€¦THE BITCOIN CORPORATION,seperti apaa air hujan yang turun,Mon Jan 27 14:07:34 +0000 2025,X
11,powerangers,buset bitcoin turun drastis pgn buy tapi kenapa kgak ada duit,Mon Jan 27 09:51:10 +0000 2025,X
12,Adrian,jangan masuk kripto apalavi bitcoin bahaya yaps benar sangat bahaya kalau kamu tidak tahu kenapa kamu harus masuk kesitu tiba tiba rugi tiba turun baru tahu arti dunia,Mon Jan 27 09:31:26 +0000 2025,X
13,Gabriel Rey,kayak flashback dulu harga turun karena china ban bitcoin sekarang harga turun karena ai deepseek dari china but fundamentally bitcoin doesn t change,Mon Jan 27 08:09:40 +0000 2025,X
