Unnamed: 0,username,text,created_at,sumber,sentiment,month,label_code,text_stopwords
0,anggi toXinc,rungkad mulu di kripto karena takut ketinggalan kenapa jiwa takut ketinggalan ku selalu bergejolak setiap lihat coin tren,2025-01-29 14:49:37+00:00,X,negative,1.0,2,rungkad mulu kripto takut ketinggalan jiwa takut ketinggalan ku selalu bergejolak setiap lihat coin tren
1,Sinau â‚¿itcoin ðŸ§¡,wis menang lur kenapa isih do denial sih bitcoiner saiki lagi do asyik menikmati tontonan wong wong intitusi negara bankir do lur one way ticket lur,2025-01-29 12:24:13+00:00,X,positive,1.0,1,wis menang lur isih do denial bitcoiner saiki lagi do asyik menikmati tontonan wong wong intitusi negara bankir do lur one way ticket lur
2,MunchMunch.base.eth ðŸ’™,yang saya lihat dari kemarin chart beberapa koin sudah oversold kalau fomc turun dipause malem ini apa bakal jadi pemicunya altcoin season awal february,2025-01-29 12:09:50+00:00,X,netral,1.0,0,lihat kemarin beberapa koin oversold fomc turun dipause malem bakal jadi pemicunya altcoin season awal february
3,FLOKI,saham us harga turun buruk yakali market kripto bakalan di bikin harga turun juga,2025-01-29 10:52:13+00:00,X,negative,1.0,2,saham us harga turun buruk yakali market kripto bakalan bikin harga turun
5,Ariela,ada apa dengan market kripto lesu banget nge trench dikit harga turun ditinggal bentar balik lg ke ath pusing pala kuu,2025-01-29 04:35:58+00:00,X,negative,1.0,2,market kripto lesu banget nge trench dikit harga turun ditinggal bentar balik lg ath pusing pala kuu
6,Rizz,game theory altcoin season cuma akan datang ketika hype nya turun mungkin price action terjun drastis harga stagnan everyone start liquidate and forget barulah terjadi,2025-01-28 19:20:39+00:00,X,netral,1.0,0,game theory altcoin season cuma datang ketika hype nya turun mungkin price action terjun drastis harga stagnan everyone start liquidate and forget barulah terjadi
7,JazEe,minggu ini altcoin coin naik bitcoin turun,2025-01-28 07:38:57+00:00,X,netral,1.0,0,minggu altcoin coin naik bitcoin turun
8,Hepeng Sinurat,kebanyakan orang kontol main kripto ngarep bitcoin turun biar dapat beli bitcoin tapi dia lupa bitcoin turun semua ikut turun,2025-01-28 06:00:50+00:00,X,negative,1.0,2,kebanyakan orang kontol main kripto ngarep bitcoin turun biar dapat beli bitcoin lupa bitcoin turun semua ikut turun
9,Haryanto,altcoin season tergerus oleh meme season kalau tidak ngikutin tren meme season dan terlalu panatik sama altcoin season kapan ingin panen untung nya modal bagus tapi tidak dapat lihat pasar alhasil jalan ditempat,2025-01-27 14:22:58+00:00,X,negative,1.0,2,altcoin season tergerus oleh meme season ngikutin tren meme season terlalu panatik sama altcoin season kapan ingin panen untung nya modal bagus dapat lihat pasar alhasil jalan ditempat
10,THE ACCOUNTANT ðŸŸ©........â€¦THE BITCOIN CORPORATION,seperti apaa air hujan yang turun,2025-01-27 14:07:34+00:00,X,netral,1.0,0,seperti apaa air hujan turun
